state,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AK,81218.75,89762.16,80889.21,94781.57,105416.32,112008.59,129181.74,126309.22,115823.75,109652.22,100038.94,92235.04
AL,NA,NA,NA,658.96,2485.79,6634.43,9521.26,10543,9977.46,11797.8,14241.33,15337.81
AR,1206.73,1269.26,1445.82,1382.06,8,8,800.09,872.11,1737.1,8723.15,1668.5,10033.89
AZ,6980.87,7383.27,10380.26,14057.56,18411.25,22318.65,29645.05,44032.85,59031.78,66483.94,56861.38,213919.27
CA,20082718.48,19452836.45,19095643.27,18204514.85,18940276.02,17838853.36,18052809.23,17701780.59,17569308.63,16705423.6,16122748.84,15495820.4
CO,24182900.4,21095113.55,18742266.67,18820319.55,19267902.29,18549122.13,18035909.8,17755216.77,18105206.85,17964522.31,16457400.82,17351292.18
CT,1985.86,3152.59,4822.66,5578.56,6372.31,21549.9,50874.7,80241.6,85586.12,123130.64,117099.4,113684.6
DC,732.36,629.61,184.8,332.23,1727.77,3546.13,4265.73,9222.28,9485.89,10449.74,11505.98,7808.04
DE,57376.89,73743.37,89753.27,109745.27,129493.68,148156.85,167806.22,176483.9,174130.96,214555.74,217018.27,224084.01
FL,8301524.51,9028726.18,9232548.52,9380672.31,9738023.02,9521482.11,9439058.04,9842764.82,10028963.53,9755349.98,9944711.04,9013013.49
GA,14460115.55,15110122.41,14321565.18,14700163.67,15000803.63,14681673.2,13929282.27,12869372.66,13468949.41,13440658.34,13665906.76,12855949.27
HI,3244.23,5154.78,7518.77,12683.85,13350.64,13208.44,13039.35,17643.83,24101.03,30194.62,34458.29,35265.45
IA,1951.71,2714.54,3817.78,4178.1,4309.38,5519.98,8090.96,6886.79,4303.13,5108.17,10200.98,29810.82
ID,4710.76,4765.33,6143.5,6407.47,9112.66,11093.1,14718.98,15257.78,15422.23,16421.24,14567.03,16303.95
IL,735775.96,920737.45,935134.49,911312.4,786867.4,944038.45,946826.09,1177503.56,1281395.63,1127874.13,1209497.06,1225146.67
IN,7626.27,9704.3,13724.96,19393.24,32664.02,37750.09,48204.65,55466.71,67624,72637.37,68032.19,61722.24
KS,749,1869.36,4887.37,9179.79,9537.42,11226.9,15852.43,19051.11,17069.96,16123.88,6626.39,6917.34
KY,76976.9,76927.25,68413.44,58747.18,70540.28,78440.18,86161.38,99595.65,97413.84,115167.63,129683.59,144579.27
LA,53303.39,58728.33,71390.8,81163.65,98359.97,101715.41,109386.36,109962.3,104479.26,102647.73,97625.45,83159.92
MA,51229.45,64333.05,72352.47,91092.86,107665.45,127282.86,133223.43,140674.77,168617.48,232429.02,233473.01,228565.35
MD,47959.13,48841.34,63027.57,74120.55,75360.92,89731.45,104085.75,113778.85,110105.25,109556.2,221125.22,302088.7
ME,76817.87,74021.63,88631.9,114906.5,124123.97,122877.92,132025.53,136646.89,136065.27,126135.75,83500.42,73118.94
MI,83937.28,95754.44,129159.89,198151.04,284832.91,272746.16,419973.01,542697.93,630694.91,781680.17,902093.81,948026.03
MN,223517.81,221315.48,212445.88,259668.58,232657.19,253317.42,285724.01,314887.35,305430.57,331456.26,442264.6,1393791.89
MO,14124480.48,13429771.56,12455434.53,12278066.32,12808818.03,12586027.39,12366680.51,12493739.84,12567319.73,12110143.63,11927936.41,11393001.56
MS,1952.64,3521.57,5188.87,6646.41,8051.63,10044.08,13409.98,11793.55,8237.78,6798.97,6788.76,6174.98
MT,32902.39,36322.98,42673.97,50457.49,53243.54,56224.96,64538.3,71159.76,65207.68,67927.38,63609.62,60992.74
NC,6717728.97,7129633.14,6943748.84,6600785.11,6735801.22,6515751.81,6311112.23,6341549.69,3389539.45,880391.57,935057.28,982104.25
ND,NA,NA,NA,NA,NA,133.11,1363.95,1891.37,771.99,1480.51,241.84,36.88
NE,1792.16,2575.65,4950.25,5885.5,6780.45,2073.18,12738.17,10792.33,13944.91,13914.72,13114.23,13354.17
NH,2786576.49,2817627.46,2885016.06,2734941.12,2927305.84,2854790.85,2745595.26,2856383.87,2837839.95,2746031.96,2579021.31,2276766.48
NJ,6600357.44,6522536.49,6920666.14,5908969.19,4572952.86,4264380.69,4316395.59,3221454.37,2660433.24,2439250.35,2770939.78,2507478.59
NM,4447.6,6387.49,9364.7,14169.83,17164.28,18327.17,26140.3,30487.22,29126.65,38350.28,48212.94,55513.97
NV,234.05,700.47,939.85,1790.02,3647.33,4561.27,6322.08,6091,6477.36,8418.87,12241.81,17351.27
NY,6997372.81,6307846.95,6376824.8,5779655.18,6832275.59,7166945.25,6749799.4,7218516.11,7555530.53,7507875.58,7428652.03,7720584.9
OH,18015059.22,17920640.25,18272288.93,18312552.08,17318045.77,16646929.63,17044931.31,18060472.31,18130886.35,17733218.04,16201555.3,16176334.47
OK,1186.99,2284.47,2937.63,3593.6,3706.66,3141.24,5620.53,6990.95,8597.36,8032.06,183.59,589.29
OR,524814.27,581456.86,659065.27,772698.31,848065.57,937521.77,1036589.35,1089613.2,1124515.37,1019538.32,990592.29,970083.59
PA,2238872.56,2262763.16,2685440.45,3128166.8,3411033.49,4005887.4,4246712.36,4140992.46,3853670.66,3637399.93,4126266.57,5175879.25
RI,78,76,1613,1692,2021.32,4181.58,4949.18,5592.76,6646.02,16985.26,32268.25,42190.46
SC,3475.55,4733.84,6346.93,10771.16,12903.66,17725.52,21211.65,24319.79,20753.29,20894.82,19482.87,17600.06
SD,NA,NA,97.6,424.14,619.7,785.06,823.65,1028.03,935.83,1132.85,877.45,935.45
TN,292.08,98.75,112.1,1051.89,380277,560336.92,696681.85,1073651.26,1116453.27,1307141.77,1750984.8,2641268.05
TX,18671765.96,19020183.48,18985409.81,18934858.19,17941441.31,18373013.26,18841742.38,18151237.17,18582286.52,18110667.95,16987670.45,16934638.35
UT,22701.49,22586.94,28681.77,40477.43,62120.44,80300.79,101610.11,117512.5,124719.01,126456.78,110817.78,91927.41
VA,14083265,13471382.64,12809681.79,12531661.75,13408374.35,12891463.92,12259344.53,11190928.41,11211279.68,12678626.95,12333484.1,12829543.99
VT,219875.42,217101.35,248184.49,289840.71,273965.87,271560.29,258101.46,264417.4,220195.37,208884.06,187172.15,178160.04
WA,130485.73,126287.74,128996.61,121471.16,116944.26,125917.12,140925.38,163346.76,139649.07,142440.45,174684.94,188786.24
WI,7202790.46,9095536.35,10240080.7,9002320.57,8884190.43,9038409.69,9100215.78,9090297.72,9142816.33,9189949.38,9225292.71,8353029.28
WV,1277.63,734,569.55,120.33,23.18,87.86,43.45,60.86,40.86,15.6,20.73,14.16
WY,1666.38,1851.16,1649.54,1916.37,2580.15,2755.25,2447.42,3409.94,6946.93,7393.61,11129.22,14611.11
total,166930011.93,165432246.88,162972112.66,159708194.46,161692656.22,159413578.77,158542512.22,157014623.95,155415745.23,151507541.28,148100648.51,148590625.56
